engine path: ./llama/7B/trt_engines/fp16/1-gpu-1-batch/
tokenizer path: ./meta-llama/Llama-2-7b-chat-hf_tokenizer/
num_iterations: 100
{'max_batch_size': 1, 'iteration': 0, 'max_input_tokens': 443, 'max_output_tokens': 441, 'batch_input_lengths': [442], 'batch_output_lengths': tensor([[883]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622494.5339594, 'batch_end_time': 1712622502.4556515, 'batch_latency': 7.921692132949829}
{'max_batch_size': 1, 'iteration': 1, 'max_input_tokens': 19, 'max_output_tokens': 194, 'batch_input_lengths': [18], 'batch_output_lengths': tensor([[212]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622502.4569986, 'batch_end_time': 1712622505.654735, 'batch_latency': 3.1977365016937256}
{'max_batch_size': 1, 'iteration': 2, 'max_input_tokens': 28, 'max_output_tokens': 96, 'batch_input_lengths': [27], 'batch_output_lengths': tensor([[103]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622505.6554132, 'batch_end_time': 1712622506.9264178, 'batch_latency': 1.2710046768188477}
{'max_batch_size': 1, 'iteration': 3, 'max_input_tokens': 545, 'max_output_tokens': 6, 'batch_input_lengths': [544], 'batch_output_lengths': tensor([[550]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622506.9277902, 'batch_end_time': 1712622507.1194332, 'batch_latency': 0.19164299964904785}
{'max_batch_size': 1, 'iteration': 4, 'max_input_tokens': 857, 'max_output_tokens': 9, 'batch_input_lengths': [856], 'batch_output_lengths': tensor([[865]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622507.12229, 'batch_end_time': 1712622507.4275765, 'batch_latency': 0.3052866458892822}
{'max_batch_size': 1, 'iteration': 5, 'max_input_tokens': 48, 'max_output_tokens': 774, 'batch_input_lengths': [47], 'batch_output_lengths': tensor([[821]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622507.4280071, 'batch_end_time': 1712622520.328743, 'batch_latency': 12.900735855102539}
{'max_batch_size': 1, 'iteration': 6, 'max_input_tokens': 249, 'max_output_tokens': 443, 'batch_input_lengths': [248], 'batch_output_lengths': tensor([[691]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622520.331028, 'batch_end_time': 1712622527.7581906, 'batch_latency': 7.4271626472473145}
{'max_batch_size': 1, 'iteration': 7, 'max_input_tokens': 292, 'max_output_tokens': 372, 'batch_input_lengths': [291], 'batch_output_lengths': tensor([[663]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622527.7598543, 'batch_end_time': 1712622534.0197763, 'batch_latency': 6.259922027587891}
{'max_batch_size': 1, 'iteration': 8, 'max_input_tokens': 33, 'max_output_tokens': 129, 'batch_input_lengths': [32], 'batch_output_lengths': tensor([[161]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622534.0206017, 'batch_end_time': 1712622536.148758, 'batch_latency': 2.1281561851501465}
{'max_batch_size': 1, 'iteration': 9, 'max_input_tokens': 13, 'max_output_tokens': 385, 'batch_input_lengths': [12], 'batch_output_lengths': tensor([[397]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622536.1493664, 'batch_end_time': 1712622542.5074778, 'batch_latency': 6.358111381530762}
{'max_batch_size': 1, 'iteration': 10, 'max_input_tokens': 17, 'max_output_tokens': 310, 'batch_input_lengths': [16], 'batch_output_lengths': tensor([[326]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622542.5082862, 'batch_end_time': 1712622547.6241293, 'batch_latency': 5.115843057632446}
{'max_batch_size': 1, 'iteration': 11, 'max_input_tokens': 13, 'max_output_tokens': 165, 'batch_input_lengths': [12], 'batch_output_lengths': tensor([[177]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622547.6247826, 'batch_end_time': 1712622550.3426514, 'batch_latency': 2.7178688049316406}
{'max_batch_size': 1, 'iteration': 12, 'max_input_tokens': 63, 'max_output_tokens': 195, 'batch_input_lengths': [62], 'batch_output_lengths': tensor([[257]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622550.343512, 'batch_end_time': 1712622553.578344, 'batch_latency': 3.2348320484161377}
{'max_batch_size': 1, 'iteration': 13, 'max_input_tokens': 83, 'max_output_tokens': 193, 'batch_input_lengths': [82], 'batch_output_lengths': tensor([[275]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622553.5791633, 'batch_end_time': 1712622556.797364, 'batch_latency': 3.21820068359375}
{'max_batch_size': 1, 'iteration': 14, 'max_input_tokens': 435, 'max_output_tokens': 828, 'batch_input_lengths': [434], 'batch_output_lengths': tensor([[1186]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622556.799295, 'batch_end_time': 1712622569.5689733, 'batch_latency': 12.769678354263306}
{'max_batch_size': 1, 'iteration': 15, 'max_input_tokens': 40, 'max_output_tokens': 557, 'batch_input_lengths': [39], 'batch_output_lengths': tensor([[596]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622569.569802, 'batch_end_time': 1712622578.8183215, 'batch_latency': 9.24851942062378}
{'max_batch_size': 1, 'iteration': 16, 'max_input_tokens': 37, 'max_output_tokens': 921, 'batch_input_lengths': [36], 'batch_output_lengths': tensor([[957]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622578.8192747, 'batch_end_time': 1712622594.1882982, 'batch_latency': 15.369023561477661}
{'max_batch_size': 1, 'iteration': 17, 'max_input_tokens': 11, 'max_output_tokens': 469, 'batch_input_lengths': [10], 'batch_output_lengths': tensor([[236]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622594.1891046, 'batch_end_time': 1712622597.930293, 'batch_latency': 3.7411885261535645}
{'max_batch_size': 1, 'iteration': 18, 'max_input_tokens': 570, 'max_output_tokens': 120, 'batch_input_lengths': [569], 'batch_output_lengths': tensor([[689]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622597.9331832, 'batch_end_time': 1712622600.0485291, 'batch_latency': 2.1153459548950195}
{'max_batch_size': 1, 'iteration': 19, 'max_input_tokens': 35, 'max_output_tokens': 745, 'batch_input_lengths': [34], 'batch_output_lengths': tensor([[779]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622600.0490086, 'batch_end_time': 1712622612.451345, 'batch_latency': 12.402336359024048}
{'max_batch_size': 1, 'iteration': 20, 'max_input_tokens': 569, 'max_output_tokens': 976, 'batch_input_lengths': [568], 'batch_output_lengths': tensor([[568]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622612.4536307, 'batch_end_time': 1712622612.5535235, 'batch_latency': 0.09989285469055176}
{'max_batch_size': 1, 'iteration': 21, 'max_input_tokens': 37, 'max_output_tokens': 149, 'batch_input_lengths': [36], 'batch_output_lengths': tensor([[185]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622612.5538368, 'batch_end_time': 1712622615.0361497, 'batch_latency': 2.4823129177093506}
{'max_batch_size': 1, 'iteration': 22, 'max_input_tokens': 9, 'max_output_tokens': 312, 'batch_input_lengths': [8], 'batch_output_lengths': tensor([[320]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622615.0364234, 'batch_end_time': 1712622620.183097, 'batch_latency': 5.1466734409332275}
{'max_batch_size': 1, 'iteration': 23, 'max_input_tokens': 48, 'max_output_tokens': 364, 'batch_input_lengths': [47], 'batch_output_lengths': tensor([[312]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622620.1836972, 'batch_end_time': 1712622624.59016, 'batch_latency': 4.406462669372559}
{'max_batch_size': 1, 'iteration': 24, 'max_input_tokens': 29, 'max_output_tokens': 116, 'batch_input_lengths': [28], 'batch_output_lengths': tensor([[49]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622624.5907552, 'batch_end_time': 1712622624.9571517, 'batch_latency': 0.366396427154541}
{'max_batch_size': 1, 'iteration': 25, 'max_input_tokens': 275, 'max_output_tokens': 815, 'batch_input_lengths': [274], 'batch_output_lengths': tensor([[1089]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622624.9579313, 'batch_end_time': 1712622638.6822262, 'batch_latency': 13.724294900894165}
{'max_batch_size': 1, 'iteration': 26, 'max_input_tokens': 65, 'max_output_tokens': 207, 'batch_input_lengths': [64], 'batch_output_lengths': tensor([[121]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622638.6832304, 'batch_end_time': 1712622639.6585007, 'batch_latency': 0.9752702713012695}
{'max_batch_size': 1, 'iteration': 27, 'max_input_tokens': 5, 'max_output_tokens': 47, 'batch_input_lengths': [4], 'batch_output_lengths': tensor([[51]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622639.658789, 'batch_end_time': 1712622640.4324942, 'batch_latency': 0.773705244064331}
{'max_batch_size': 1, 'iteration': 28, 'max_input_tokens': 10, 'max_output_tokens': 132, 'batch_input_lengths': [9], 'batch_output_lengths': tensor([[141]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622640.432788, 'batch_end_time': 1712622642.605954, 'batch_latency': 2.173166036605835}
{'max_batch_size': 1, 'iteration': 29, 'max_input_tokens': 127, 'max_output_tokens': 72, 'batch_input_lengths': [126], 'batch_output_lengths': tensor([[126]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622642.6068947, 'batch_end_time': 1712622642.6507432, 'batch_latency': 0.043848514556884766}
{'max_batch_size': 1, 'iteration': 30, 'max_input_tokens': 162, 'max_output_tokens': 290, 'batch_input_lengths': [161], 'batch_output_lengths': tensor([[364]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622642.6511848, 'batch_end_time': 1712622646.0690324, 'batch_latency': 3.4178476333618164}
{'max_batch_size': 1, 'iteration': 31, 'max_input_tokens': 8, 'max_output_tokens': 29, 'batch_input_lengths': [7], 'batch_output_lengths': tensor([[36]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622646.0694954, 'batch_end_time': 1712622646.548269, 'batch_latency': 0.4787735939025879}
{'max_batch_size': 1, 'iteration': 32, 'max_input_tokens': 13, 'max_output_tokens': 192, 'batch_input_lengths': [12], 'batch_output_lengths': tensor([[204]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622646.5489743, 'batch_end_time': 1712622649.712186, 'batch_latency': 3.1632118225097656}
{'max_batch_size': 1, 'iteration': 33, 'max_input_tokens': 13, 'max_output_tokens': 148, 'batch_input_lengths': [12], 'batch_output_lengths': tensor([[105]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622649.712621, 'batch_end_time': 1712622651.2606726, 'batch_latency': 1.5480515956878662}
{'max_batch_size': 1, 'iteration': 34, 'max_input_tokens': 21, 'max_output_tokens': 466, 'batch_input_lengths': [20], 'batch_output_lengths': tensor([[486]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622651.2610698, 'batch_end_time': 1712622658.9672048, 'batch_latency': 7.706135034561157}
{'max_batch_size': 1, 'iteration': 35, 'max_input_tokens': 50, 'max_output_tokens': 39, 'batch_input_lengths': [49], 'batch_output_lengths': tensor([[88]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622658.9679317, 'batch_end_time': 1712622659.6286821, 'batch_latency': 0.6607503890991211}
{'max_batch_size': 1, 'iteration': 36, 'max_input_tokens': 14, 'max_output_tokens': 271, 'batch_input_lengths': [13], 'batch_output_lengths': tensor([[284]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622659.629037, 'batch_end_time': 1712622664.0975227, 'batch_latency': 4.4684858322143555}
{'max_batch_size': 1, 'iteration': 37, 'max_input_tokens': 209, 'max_output_tokens': 136, 'batch_input_lengths': [208], 'batch_output_lengths': tensor([[313]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622664.0986376, 'batch_end_time': 1712622665.8940153, 'batch_latency': 1.7953777313232422}
{'max_batch_size': 1, 'iteration': 38, 'max_input_tokens': 23, 'max_output_tokens': 18, 'batch_input_lengths': [22], 'batch_output_lengths': tensor([[40]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622665.8943267, 'batch_end_time': 1712622666.1946084, 'batch_latency': 0.3002817630767822}
{'max_batch_size': 1, 'iteration': 39, 'max_input_tokens': 17, 'max_output_tokens': 131, 'batch_input_lengths': [16], 'batch_output_lengths': tensor([[147]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622666.1948936, 'batch_end_time': 1712622668.352874, 'batch_latency': 2.157980442047119}
{'max_batch_size': 1, 'iteration': 40, 'max_input_tokens': 21, 'max_output_tokens': 187, 'batch_input_lengths': [20], 'batch_output_lengths': tensor([[207]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622668.3533256, 'batch_end_time': 1712622671.4353545, 'batch_latency': 3.082028865814209}
{'max_batch_size': 1, 'iteration': 41, 'max_input_tokens': 28, 'max_output_tokens': 763, 'batch_input_lengths': [27], 'batch_output_lengths': tensor([[187]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622671.435978, 'batch_end_time': 1712622674.0908504, 'batch_latency': 2.654872417449951}
{'max_batch_size': 1, 'iteration': 42, 'max_input_tokens': 16, 'max_output_tokens': 358, 'batch_input_lengths': [15], 'batch_output_lengths': tensor([[336]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622674.0912461, 'batch_end_time': 1712622679.4052553, 'batch_latency': 5.314009189605713}
{'max_batch_size': 1, 'iteration': 43, 'max_input_tokens': 14, 'max_output_tokens': 418, 'batch_input_lengths': [13], 'batch_output_lengths': tensor([[431]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622679.4062035, 'batch_end_time': 1712622686.3123786, 'batch_latency': 6.906175136566162}
{'max_batch_size': 1, 'iteration': 44, 'max_input_tokens': 8, 'max_output_tokens': 137, 'batch_input_lengths': [7], 'batch_output_lengths': tensor([[144]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622686.312927, 'batch_end_time': 1712622688.5682545, 'batch_latency': 2.2553274631500244}
{'max_batch_size': 1, 'iteration': 45, 'max_input_tokens': 29, 'max_output_tokens': 618, 'batch_input_lengths': [28], 'batch_output_lengths': tensor([[274]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622688.5687861, 'batch_end_time': 1712622692.6439683, 'batch_latency': 4.075182199478149}
{'max_batch_size': 1, 'iteration': 46, 'max_input_tokens': 6, 'max_output_tokens': 268, 'batch_input_lengths': [5], 'batch_output_lengths': tensor([[273]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622692.6443877, 'batch_end_time': 1712622697.0621674, 'batch_latency': 4.4177796840667725}
{'max_batch_size': 1, 'iteration': 47, 'max_input_tokens': 14, 'max_output_tokens': 938, 'batch_input_lengths': [13], 'batch_output_lengths': tensor([[951]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622697.0627456, 'batch_end_time': 1712622712.69339, 'batch_latency': 15.63064432144165}
{'max_batch_size': 1, 'iteration': 48, 'max_input_tokens': 10, 'max_output_tokens': 676, 'batch_input_lengths': [9], 'batch_output_lengths': tensor([[426]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622712.6941848, 'batch_end_time': 1712622719.5997493, 'batch_latency': 6.905564546585083}
{'max_batch_size': 1, 'iteration': 49, 'max_input_tokens': 73, 'max_output_tokens': 30, 'batch_input_lengths': [72], 'batch_output_lengths': tensor([[102]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622719.6008039, 'batch_end_time': 1712622720.1286995, 'batch_latency': 0.5278956890106201}
{'max_batch_size': 1, 'iteration': 50, 'max_input_tokens': 19, 'max_output_tokens': 415, 'batch_input_lengths': [18], 'batch_output_lengths': tensor([[414]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622720.1294036, 'batch_end_time': 1712622726.688357, 'batch_latency': 6.558953523635864}
{'max_batch_size': 1, 'iteration': 51, 'max_input_tokens': 97, 'max_output_tokens': 584, 'batch_input_lengths': [96], 'batch_output_lengths': tensor([[294]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622726.6892805, 'batch_end_time': 1712622730.0086021, 'batch_latency': 3.319321632385254}
{'max_batch_size': 1, 'iteration': 52, 'max_input_tokens': 17, 'max_output_tokens': 42, 'batch_input_lengths': [16], 'batch_output_lengths': tensor([[58]], device='cuda:0', dtype=torch.int32), 'batch_start_time': 1712622730.0090928, 'batch_end_time': 1712622730.70222, 'batch_latency': 0.6931271553039551}
